nid	nname	date	jd	long	lat	long_rate_dpc	lat_rate_dpc
N01	Ashwini	-0400-01-08T05:10:22	1574964.5000013774	4.256	9.899	1.384	0.002
N02	Bharani	-0400-01-08T05:10:22	1574964.500001389	14.871	10.302	1.381	0.005
N03	Krittika	-0400-01-08T05:10:22	1574964.5000013658	26.65	3.81	1.382	0.009
N04	Rohini	-0400-01-08T05:10:22	1574964.5000013888	36.405	-5.629	1.384	0.006
N05	Mrigashirisham	-0400-01-08T05:10:22	1574964.5000014235	50.349	-13.684	1.383	0.013
N06	Thiruvadarai	-0400-01-08T05:10:22	1574964.5000016782	55.381	-16.352	1.384	0.014
N07	Punarpasu	-0400-01-08T05:10:22	1574964.5000016089	80.252	6.576	1.366	0.005
N08	Pushyam	-0400-01-08T05:10:22	1574964.5000017246	95.338	-0.018	1.384	0.005
N09	Ayilyam	-0400-01-08T05:10:22	1574964.5000017479	101.322	-11.178	1.378	0.01
N10	Makam	-0400-01-08T05:10:22	1574964.5000020254	116.65	0.329	1.375	0.007
N11	Pooram	-0400-01-08T05:10:22	1574964.5000013774	127.759	14.259	1.391	0.005
N12	Uttiram	-0400-01-08T05:10:22	1574964.5000014931	130.034	9.646	1.384	0.003
N13	Hastam	-0400-01-08T05:10:22	1574964.5000014468	160.256	-11.978	1.376	-0.008
N14	Chitrai	-0400-01-08T05:10:22	1574964.5000014585	170.519	-1.896	1.381	-0.005
N15	Swati	-0400-01-08T05:10:22	1574964.5000021064	170.74	32.482	1.389	-0.072
N16	Vishakam	-0400-01-08T05:10:22	1574964.5000017015	191.75	0.649	1.379	-0.011
N17	Anusham	-0400-01-08T05:10:22	1574964.500001713	209.225	-1.674	1.382	-0.012
N18	Kettai	-0400-01-08T05:10:22	1574964.500001736	216.424	-4.255	1.382	-0.013
N19	Moolam	-0400-01-08T05:10:22	1574964.5000013544	231.24	-13.451	1.382	-0.014
N20	Pooradam	-0400-01-08T05:10:22	1574964.5000013774	241.791	-10.673	1.379	-0.016
N21	Uttiradam	-0400-01-08T05:10:22	1574964.5000018287	249.028	-3.098	1.382	-0.015
N22	Thiruvonam	-0400-01-08T05:10:22	1574964.5000022918	268.046	29.399	1.399	-0.005
N23	Avittam	-0400-01-08T05:10:22	1574964.5000017015	284.13	33.259	1.379	-0.011
N24	Shatayam	-0400-01-08T05:10:22	1574964.5000016666	306.165	4.278	1.378	-0.008
N25	Poorattadi	-0400-01-08T05:10:22	1574964.5000013888	320.216	19.485	1.379	-0.005
N26	Uttiratadi	-0400-01-08T05:10:22	1574964.5000013309	341.073	25.745	1.377	-0.004
N27	Revati	-0400-01-08T05:10:22	1574964.5000013309	355.962	-9.2	1.385	0.005
N28	Abhijit	-0400-01-08T05:10:22	1574964.5000018517	251.921	61.824	1.387	-0.004